	alpha1	alpha2	specular1	eta2	k2	bsdf1	bsdf2
573	0.381617647059	0.328936353967	0.0393103448276	0.030001943071	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
574	0.903088235294	0.547700390649	0.0296551724138	0.0116237960747	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
575	0.0919117647059	0.0909513120409	0.0586206896552	0.0575519061151	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
576	0.816176470588	0.523613425193	0.126206896552	0.0551531383286	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
577	0.787205882353	0.514790721777	0.155172413793	0.0703595922879	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
578	0.0629411764706	0.0626322858069	0.068275862069	0.0677231530327	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
579	0.207794117647	0.197506554944	0.02	0.0182575741809	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
580	0.294705882353	0.267835326902	0.126206896552	0.106171381234	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
581	0.149852941176	0.145824134039	0.068275862069	0.0650304966575	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
582	0.845147058824	0.532023066013	0.0779310344828	0.0328328764772	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
583	0.787205882353	0.514790770309	0.164827586207	0.0747373974874	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
584	0.729264705882	0.495793089945	0.0779310344828	0.0380720754755	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
585	0.439558823529	0.364698289925	0.0296551724138	0.0210904421777	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
586	0.642352941176	0.46343637368	0.0972413793103	0.0532033992917	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
587	0.0629411764706	0.0626319618737	0.232413793103	0.230529085652	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
588	0.729264705882	0.495793098834	0.145517241379	0.0710900905667	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
589	0.816176470588	0.523613483017	0.068275862069	0.0298371219218	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
590	0.99	0.568903506113	0.126206896552	0.0445201226317	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
591	0.903088235294	0.54770027388	0.116551724138	0.0456836996494	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
592	0.005	0.00548722931665	0.068275862069	0.0819947509607	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
593	0.700294117647	0.485555932879	0.0972413793103	0.0493266473986	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
594	0.584411764706	0.438877481719	0.0393103448276	0.0232029865026	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
595	0.0339705882353	0.0339109619106	0.0779310344828	0.0778548454876	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
596	0.613382352941	0.451481149428	0.174482758621	0.0991556932332	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
597	0.005	0.00549762688024	0.0875862068966	0.105105355795	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
598	0.410588235294	0.34729742195	0.203448275862	0.149953864419	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
599	0.236764705882	0.221959242889	0.164827586207	0.1467412611	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
600	0.729264705882	0.495792921049	0.0393103448276	0.0192048632469	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
601	0.265735294118	0.245410559271	0.184137931034	0.159513601991	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
602	0.323676470588	0.289225524144	0.02	0.0163109849876	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
603	0.323676470588	0.289225485119	0.184137931034	0.150171551041	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
604	0.584411764706	0.438877413054	0.068275862069	0.0402999827042	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
605	0.555441176471	0.425584291937	0.126206896552	0.0773661664695	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
606	0.787205882353	0.514790826295	0.106896551724	0.0484699018049	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
607	0.178823529412	0.172107489387	0.193793103448	0.180951520654	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
608	0.005	0.00550383075794	0.126206896552	0.150831093061	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
609	0.787205882353	0.514790572048	0.0296551724138	0.0134468499385	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
610	0.671323529412	0.474782274602	0.0489655172414	0.0257944115728	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
611	0.642352941176	0.463436334867	0.184137931034	0.100746855885	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
612	0.816176470588	0.523613250023	0.116551724138	0.0509341815595	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
613	0.468529411765	0.381168615957	0.193793103448	0.132885405703	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
614	0.961029411765	0.562056380027	0.164827586207	0.0601947098488	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
615	0.439558823529	0.364698314581	0.0586206896552	0.0416901516656	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
616	0.700294117647	0.485555942184	0.193793103448	0.0983032619056	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
617	0.932058823529	0.555005308778	0.0586206896552	0.0221738515901	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
618	0.526470588235	0.411558291901	0.203448275862	0.129501701749	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
619	0.468529411765	0.381168619123	0.0296551724138	0.020334829802	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
620	0.642352941176	0.463436267735	0.0489655172414	0.0267906321019	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
621	0.700294117647	0.485555960251	0.135862068966	0.0689172438035	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
622	0.729264705882	0.495793048304	0.0972413793103	0.04750581901	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
623	0.642352941176	0.463436262476	0.145517241379	0.0796165413434	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
624	0.294705882353	0.267835324266	0.02	0.0168250648099	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
625	0.903088235294	0.547700196754	0.0779310344828	0.0305461877253	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
626	0.526470588235	0.411558300374	0.22275862069	0.141793383087	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
627	0.381617647059	0.328936388387	0.193793103448	0.147904084406	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
628	0.4975	0.396755199206	0.106896551724	0.0706341765613	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
629	0.555441176471	0.425584279568	0.106896551724	0.0655287362413	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
630	0.0339705882353	0.0339119114217	0.0393103448276	0.0392726602787	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
631	0.323676470588	0.289225544822	0.174482758621	0.142297224827	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
632	0.236764705882	0.221959240985	0.126206896552	0.112358387032	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
633	0.816176470588	0.523613276656	0.22275862069	0.0973468039675	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
634	0.207794117647	0.197506544495	0.155172413793	0.141653378759	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
635	0.874117647059	0.540044462148	0.155172413793	0.0630465153519	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
636	0.0339705882353	0.0339117600137	0.184137931034	0.183960817212	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
637	0.323676470588	0.289225541018	0.145517241379	0.118674759631	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
638	0.642352941176	0.463436350835	0.135862068966	0.0743338306559	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
639	0.729264705882	0.495792916072	0.106896551724	0.0522229767995	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
640	0.178823529412	0.172107467772	0.126206896552	0.117843888184	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
